method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,100,0.8271666666666667,0.78,0.78,0.78,0.78,0.87,0.29,0.87,0.834165082750002,0.89,0.178,0.89,0.8423403764030813,0.9,0.09,0.9,0.8452310246662603
no_rag,100,0.35833333333333334,0.35,0.35,0.35,0.35,0.37,0.12333333333333334,0.37,0.36130929753571456,0.37,0.074,0.37,0.36130929753571456,0.37,0.037,0.37,0.36130929753571456
tourrag_agent,100,0.8825,0.85,0.85,0.85,0.85,0.92,0.30666666666666664,0.92,0.8902371901428583,0.93,0.186,0.93,0.8945439557235921,0.93,0.093,0.93,0.8945439557235921
