method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.7291666666666667,0.7,0.7,0.7,0.7,0.75,0.25,0.75,0.725,0.8,0.08,0.8,0.7465338279036697
no_rag,20,0.5,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,0.5,0.5,0.5,0.05,0.5,0.5
tourrag_agent,20,0.825,0.8,0.8,0.8,0.8,0.85,0.2833333333333333,0.85,0.8315464876785729,0.85,0.085,0.85,0.8315464876785729
