method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.775,0.7,0.7,0.7,0.7,0.85,0.2833333333333333,0.85,0.7880929753571457,0.85,0.17,0.85,0.7880929753571457,0.9,0.09,0.9,0.8059033347125469
tourrag_sql,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
