method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.6729166666666667,0.6,0.6,0.6,0.6,0.75,0.25,0.75,0.6880929753571458,0.75,0.15,0.75,0.6880929753571458,0.8,0.08,0.8,0.7038662191964322
no_rag,20,0.35,0.35,0.35,0.35,0.35,0.35,0.11666666666666667,0.35,0.35,0.35,0.07,0.35,0.35,0.35,0.035,0.35,0.35
tourrag_agent,20,0.6058333333333333,0.5,0.5,0.5,0.5,0.65,0.21666666666666667,0.65,0.5946394630357187,0.75,0.15,0.75,0.6355159313011154,0.8,0.08,0.8,0.6533262906565165
