method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,100,0.32075,0.28,0.28,0.28,0.28,0.35,0.11666666666666667,0.35,0.3228557852142875,0.37,0.074,0.37,0.3310310788673668,0.39,0.039,0.39,0.3377477995063043
no_rag,100,0.2833333333333333,0.28,0.28,0.28,0.28,0.29,0.09666666666666666,0.29,0.285,0.29,0.058,0.29,0.285,0.29,0.029,0.29,0.285
tourrag_sql,100,0.1366666666666667,0.13,0.13,0.13,0.13,0.15,0.05,0.15,0.14,0.15,0.03,0.15,0.14,0.15,0.015,0.15,0.14
