method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.7416666666666667,0.7,0.7,0.7,0.7,0.8,0.26666666666666666,0.8,0.7565464876785729,0.8,0.16,0.8,0.7565464876785729,0.8,0.08,0.8,0.7565464876785729
no_rag,20,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.3,0.06,0.3,0.3,0.3,0.03,0.3,0.3
tourrag_agent,20,0.925,0.9,0.9,0.9,0.9,0.95,0.31666666666666665,0.95,0.9315464876785728,0.95,0.19,0.95,0.9315464876785728,0.95,0.095,0.95,0.9315464876785728
