method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,100,0.012,0.01,0.01,0.01,0.01,0.01,0.0033333333333333335,0.01,0.01,0.02,0.004,0.02,0.013868528072345416,0.02,0.002,0.02,0.013868528072345416
tourrag_sql,100,0.015,0.01,0.01,0.01,0.01,0.02,0.006666666666666667,0.02,0.016309297535714574,0.02,0.004,0.02,0.016309297535714574,0.02,0.002,0.02,0.016309297535714574
