method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.65,0.6,0.6,0.6,0.6,0.7,0.23333333333333334,0.7,0.6565464876785729,0.75,0.075,0.75,0.674356847033974
no_rag,20,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.3,0.03,0.3,0.3
tourrag_agent,20,0.8,0.8,0.8,0.8,0.8,0.8,0.26666666666666666,0.8,0.8,0.8,0.08,0.8,0.8
