method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.9,0.85,0.85,0.85,0.85,0.9,0.3,0.9,0.8815464876785729,1.0,0.2,1.0,0.9246141434859123,1.0,0.1,1.0,0.9246141434859123
no_rag,20,0.25,0.25,0.25,0.25,0.25,0.25,0.08333333333333333,0.25,0.25,0.25,0.05,0.25,0.25,0.25,0.025,0.25,0.25
tourrag_agent,20,0.7433333333333334,0.7,0.7,0.7,0.7,0.8,0.26666666666666666,0.8,0.75,0.85,0.17,0.85,0.7693426403617271,0.85,0.085,0.85,0.7693426403617271
