method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.875,0.85,0.85,0.85,0.85,0.9,0.3,0.9,0.8815464876785729,0.9,0.18,0.9,0.8815464876785729,0.9,0.09,0.9,0.8815464876785729
no_rag,20,0.25,0.25,0.25,0.25,0.25,0.25,0.08333333333333333,0.25,0.25,0.25,0.05,0.25,0.25,0.25,0.025,0.25,0.25
tourrag_agent,20,0.5825,0.45,0.45,0.45,0.45,0.7,0.23333333333333334,0.7,0.5880929753571458,0.85,0.17,0.85,0.6483120839842695,0.85,0.085,0.85,0.6483120839842695
