method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,1000,0.3240206349206348,0.299,0.299,0.299,0.299,0.342,0.114,0.342,0.3245588223607151,0.354,0.0708,0.354,0.32955164605424053,0.373,0.0373,0.373,0.3358771352404145
tourrag_sql,1000,0.0557,0.051,0.051,0.051,0.051,0.058,0.019333333333333334,0.058,0.05528557852142875,0.063,0.0126,0.063,0.05739513756095686,0.064,0.0064,0.064,0.057751344748064884
