method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.4875,0.45,0.45,0.45,0.45,0.5,0.16666666666666666,0.5,0.4815464876785729,0.55,0.11,0.55,0.5030803155822425,0.55,0.055,0.55,0.5030803155822425
no_rag,20,0.45,0.45,0.45,0.45,0.45,0.45,0.15,0.45,0.45,0.45,0.09,0.45,0.45,0.45,0.045,0.45,0.45
tourrag_agent,20,0.5071428571428571,0.5,0.5,0.5,0.5,0.5,0.16666666666666666,0.5,0.5,0.5,0.1,0.5,0.5,0.55,0.055,0.55,0.5166666666666667
