method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,100,0.32075,0.28,0.28,0.28,0.28,0.35,0.11666666666666667,0.35,0.3228557852142875,0.37,0.074,0.37,0.3310310788673668,0.39,0.039,0.39,0.3377477995063043
no_rag,100,0.2733333333333333,0.27,0.27,0.27,0.27,0.28,0.09333333333333334,0.28,0.275,0.28,0.056,0.28,0.275,0.28,0.028,0.28,0.275
tourrag_agent,100,0.3183333333333333,0.31,0.31,0.31,0.31,0.33,0.11,0.33,0.3213092975357146,0.33,0.066,0.33,0.3213092975357146,0.33,0.033,0.33,0.3213092975357146
