method,queries,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
bm25,20,0.7416666666666667,0.7,0.7,0.7,0.7,0.8,0.26666666666666666,0.8,0.7565464876785729,0.8,0.16,0.8,0.7565464876785729,0.8,0.08,0.8,0.7565464876785729
no_rag,20,0.35,0.35,0.35,0.35,0.35,0.35,0.11666666666666667,0.35,0.35,0.35,0.07,0.35,0.35,0.35,0.035,0.35,0.35
tourrag_agent,20,0.5867261904761905,0.5,0.5,0.5,0.5,0.65,0.21666666666666667,0.65,0.5815464876785729,0.7,0.14,0.7,0.6008891280402999,0.85,0.085,0.85,0.6477822798621474
